,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
197402,-0.36,-1.38,-0.16,-0.48,1.07,0.57,1.03,1.2,1.77,4.13,-2.87,0.01,1.6,0.58,2.35,-2.53,0.83,2.41,1.84,3.4,-1.23,1.81,-0.94,2.86,3.53,,,,,,
197403,0.2,-0.88,0.46,1.51,1.95,-1.68,1.85,-1.55,-0.95,0.64,-1.52,-1.32,-3.23,-1.55,-1.05,-2.46,-3.49,-4.73,-3.13,-1.95,-1.44,-3.54,-2.28,-3.5,-4.51,,,,,,
197404,-4.69,-6,-5.22,-5.62,-3.99,-8.55,-6.66,-5.68,-4.03,-3.44,-6.2,-7.13,-4.58,-5.85,-2.55,-7.03,-6.98,-5.97,-6.93,-1.39,-2.82,-4.24,-5.03,-5.97,-5.65,,,,,,
197405,-8.29,-7.57,-8.12,-6.94,-6.1,-6.68,-7.57,-7.62,-7.24,-7.45,-6.98,-9.58,-6.65,-6.94,-8.3,-6.44,-8.67,-5.37,-6.18,-6.95,-0.66,-3.54,-5.58,-3.18,-8.12,,,,,,
197406,-3.44,-3.25,-2.39,-2.27,-1.38,-3.88,-3.27,-2.79,-0.63,-0.45,-4.43,-2.52,-3.5,-4.32,-0.53,-3.12,-3.4,-2.8,-4.49,-4.63,-1.54,-2.73,-1.78,-2.08,1.07,,,,,,
197407,-8.84,-5.59,-5.23,-4.64,-3.93,-7.31,-3.99,-4.37,-3.61,-2.63,-6.73,-2.39,-1.94,-3.08,1.16,-8.43,-5.98,-2.41,-0.45,-1.61,-10.89,-4.15,-3.71,-4.11,-5.1,,,,,,
197408,-9.9,-8.19,-7.54,-7.45,-6.9,-9.15,-11.35,-6.29,-7.78,-5.37,-11.06,-10.43,-6.37,-7.16,-6.84,-11.71,-8.62,-8.48,-6.26,-6.5,-9.96,-7.58,-4.52,-7.87,-8.64,,,,,,
197409,-13.25,-8.34,-6.93,-6.89,-8.45,-12.01,-7.07,-7.98,-7.62,-7.39,-12.96,-8.58,-6.95,-4.59,-6.49,-11.53,-7.06,-5.09,-6.28,-7.63,-14.87,-9.9,-4.95,-5.24,-6.63,,,,,,
197410,15.25,7.17,6.88,7.85,9.19,16.61,11.17,6.75,8.03,6.99,18.77,10.8,7.11,8.32,10,20.82,13.07,11.33,10.26,9.13,22.24,13.86,13.31,10.58,1.31,,,,,,
197411,-5.84,-5.57,-5.05,-5.23,-6.65,-5.35,-4.04,-3.96,-5.3,-6.72,-4.54,-3.85,-2.88,-4.22,-1.95,-2.25,-0.38,-1.41,-4.02,-5.47,-4.55,-3.2,-4.19,-2.37,-4.11,,,,,,
197412,-6.99,-8.09,-7.35,-7.46,-9.08,-6.59,-6.34,-5.91,-6.95,-5.75,-5.59,-4.32,-4.14,-5.05,-7.26,-4.49,-2.53,-3.98,-2.01,-8.85,-3.82,0.34,1.46,-1.1,1.88,,,,,,
197501,26.56,29.53,28.2,27.86,32.72,21.29,25.79,27.01,27.41,29.68,19.13,24.92,21.92,23.36,28.69,15.64,20.49,24.11,23.86,27.86,9.27,13.96,14.07,19.86,15.66,,,,,,
197502,6.95,5.3,3.15,3.47,4.92,9.13,6.97,1.6,3.97,2.17,7.57,3,2.73,4.73,5.09,6.75,2.63,1.96,2.81,2.76,9.57,2.75,3.8,2.22,-3.24,,,,,,
197503,9.02,10.85,9.04,7.88,9.79,6.42,6.57,7.17,6.02,8.37,5.91,6.76,3.9,7.13,5.49,5.95,6.38,5.2,4.96,5.05,2.67,1.82,-1.25,6.28,6.15,,,,,,
197504,6.53,6.41,4.22,2.9,2.87,6.87,4.3,2.78,1.24,4.32,5.71,5.14,5.12,3.82,3.06,6.98,3.17,2.5,4.69,6.6,5.72,4.77,0.91,5.49,5.02,,,,,,
197505,11.71,11.09,8.42,7.82,6.83,12.23,7.62,7.08,8.01,7.39,5.18,8.21,4.09,8.16,0.85,7.82,5.96,5.4,4,5.8,5.09,8.48,4.62,-0.35,0.96,,,,,,
197506,6.05,7.62,7.46,8.93,7.61,9.26,7.44,6.98,8.51,3.14,5.83,5.21,7.33,5.97,4.96,5.22,7.75,7.12,10.26,8.93,3.47,7.14,4.82,6.8,7.43,,,,,,
197507,-1.53,0.13,-1.62,-0.22,-0.59,-3.41,-3.21,-2.67,-3.69,-4.02,-5.26,-3.35,-3.53,-4.07,-5.97,-7.15,-6.36,-4.16,-4.23,-6.84,-8.14,-4.08,-4.62,-5.68,-1.55,,,,,,
197508,-7.02,-6.33,-4.82,-5.36,-7.69,-4.49,-4,-5.15,-4.09,-8.28,-3.99,-3.47,-3.47,-4.23,-5.64,-4.39,-3.45,-2.6,-2.37,-0.69,-1.95,-1.85,-1.75,2.3,-4.46,,,,,,
197509,-5.36,-2.42,-3.12,-2.93,-3.89,-3.43,-3.93,-3.49,-3.38,-4.77,-5.35,-3.01,-3.88,-4.42,-4.03,-4.57,-3.17,-3.71,-3.15,-4.45,-4.63,-1.36,-2.29,-4.38,-5.35,,,,,,
197510,1.51,1.39,2.75,2.73,1,2.06,4.16,1.41,3.76,4.21,1.93,3.63,3.76,4.81,0.37,5.7,5.85,7.12,5.11,6.93,7.17,5.57,4.6,6.75,3.9,,,,,,
197511,0.06,1.91,1.96,2.49,3.67,0.03,3.23,1.83,4.2,4.11,1.94,2.52,4.75,4.24,1.1,2.94,3.94,3.92,7.76,6.04,3.26,2.21,2.98,2.91,4.68,,,,,,
197512,-0.91,-1.21,-1.17,-1.02,-1.45,-2.51,-1.52,0.73,-0.71,-2.14,-0.94,-0.76,0.66,-0.13,3.06,-2.46,0.68,-0.04,-0.35,-0.78,-2.6,0.9,0.45,0.67,5.25,,,,,,
197601,15.86,17.02,20.9,22.52,26.89,12.95,16.6,16.99,21.41,26.77,16.21,15.43,16.7,18.81,22.28,12.83,13.82,15.95,18.63,22.6,11.15,9.51,13.9,17.17,15.16,,,,,,
197602,9.84,7.26,10.65,12.17,16.03,7.28,6.54,7.34,8.47,11.52,3.95,3.54,5.58,7.5,13.26,0.84,3.33,3.99,5.36,3.94,-2.33,1.58,-1.27,-0.87,9.44,,,,,,
197603,3.55,2.21,1.87,0.75,1.64,1.1,0.74,0.38,1.3,2.18,0.93,0.86,1.93,1.93,1.94,0.91,2.26,0.98,1.41,6.8,3.14,3.6,3.69,2.72,-1.01,,,,,,
197604,-1.41,-0.7,-2.78,-1.17,-1.72,-1.08,-1.62,-0.59,-0.95,-1.68,-1.51,0.12,-0.69,-0.91,-0.49,-1.65,-1.35,-0.48,-1.91,-3.73,-2.27,0.3,1.63,0.71,1.14,,,,,,
197605,-1.83,-1.56,-1.44,-3.6,-4.89,-0.73,-2.16,-0.84,-2.6,-4.17,-1.71,-1.36,-1.58,-1.09,-3.1,-2.4,-1.09,-0.98,-3.46,1.23,-1.06,0.61,-0.92,-2.33,1.38,,,,,,
197606,4.13,2.36,2.18,3.05,1.95,2.47,3.06,3.74,3.38,6.19,4.52,5.25,6.59,5,8.13,4.2,4.98,7.15,7.98,3.91,4.3,4.01,5.64,5.93,2.94,,,,,,
197607,-1.03,-1.97,0.68,-0.25,1.15,-0.98,-0.07,2.78,0.12,1.41,-1.54,-0.8,0.43,0.77,0.15,-1.54,0.57,0.4,1.68,1.64,-1.61,0.19,0.25,-0.69,2.7,,,,,,
197608,-4.28,-1.57,-1.18,-1.42,-1.55,-4.32,-1.82,-2.55,-1.12,-1.3,-2.62,-1.33,-1.05,-0.25,-4.04,-2.6,0.46,1.57,-1.18,0.66,-0.26,0.42,1.82,-0.79,0.77,,,,,,
197609,2.23,1.91,1.06,2.23,1.96,4.16,4.51,2.56,3.44,1.88,3.44,2.99,2.55,2.81,0.89,2.28,2.05,2.9,2.93,1.27,1.62,4.4,3.29,3.89,-1.1,,,,,,
197610,-2.88,-1.54,-1.6,-1.5,-2.39,-2.84,-3.34,-2.34,-1.41,-1.3,-3.42,0.37,-1.54,-1.07,-3.67,-2.34,-1.4,-1.19,-1.61,-2.44,-2.38,-2.5,-0.73,-3.34,-4.13,,,,,,
197611,5.64,3.35,1.94,2.54,2.85,3.15,3.49,2.86,4.17,5.09,3.75,3.35,3.44,4.35,7.1,4.41,3.26,3.14,2.19,1.57,-1.57,0.14,2.04,1.83,3.98,,,,,,
197612,10.83,9.49,9.66,11.04,9.84,9.18,8.97,9.43,9.48,11.37,5.79,9.51,8.86,8.27,8.28,6.1,7.04,7.6,9.41,9.49,3.86,7.29,5.63,7.65,8.17,,,,,,
197701,2.97,4.27,2.68,4.5,5.85,-0.28,2.28,0.61,1.84,3.46,-2.26,-0.07,1.06,1.07,0.62,-4.14,-2.69,-2.56,-0.14,1.73,-7.84,-3.34,-1.01,-1.73,0.4,,,,,,
197702,-0.41,-0.41,-0.42,-0.43,0.47,-1.66,-0.94,-0.43,0.23,-1.66,-4.13,-0.82,-2.34,0.34,-3.56,-2.88,-1.87,-1.97,-1.76,-2.07,-1.2,-3.29,-0.76,-1.99,-1.54,,,,,,
197703,0.17,0.19,1.52,1.42,1.37,0.38,-0.64,1.66,-0.1,-0.82,-0.05,1.39,-0.09,0.25,0.3,-1.84,0.3,0.76,0.4,5.09,-1.69,-1.82,-1.19,-0.69,-0.26,,,,,,
197704,1.39,0.18,1.9,2.62,2.53,1.18,1.74,1.36,2.23,2.9,0.49,0.8,2.22,2.62,2.28,-0.59,2.21,2.57,3.11,2.76,-2.17,2.16,1.42,4.12,5.71,,,,,,
197705,-1.59,-0.33,0.58,0.21,1.32,0.89,-0.89,-0.3,0.78,-1.58,-0.68,0.04,0.44,0.7,0.29,-0.48,-0.91,0.04,-1.08,-1.13,-2.55,-0.83,0.68,-2.31,-2.04,,,,,,
197706,5.84,6.44,7.25,5.62,7.22,8.63,6.4,6.5,5.69,9.7,8.97,6.28,6.21,4.61,6.28,6.6,4.97,4.89,4.73,6.25,5.98,3.96,3.03,4.85,2.34,,,,,,
197707,1.17,0.56,1.06,0.67,1.22,-1.29,0.04,-0.74,0.74,0.26,0.11,-0.13,-1.17,-1.33,-0.8,-1.14,-3.15,-0.7,-1.09,-4.38,-1.29,-2.86,-0.7,-0.13,-5.16,,,,,,
197708,1.15,0.09,-0.69,-1.37,-1.71,0.62,-0.69,-1.54,-0.86,-1.67,1.76,-1.1,-0.79,-0.54,-1.2,-1.5,-0.95,-2.06,-1.91,-3.76,1.07,-3.46,-3.01,-4.86,-4.23,,,,,,
197709,2.22,1.94,1.04,1.95,1.33,1.3,0.95,1.83,0.16,-1.4,1.93,1.58,1.18,0.29,0.04,0.89,0.17,0.78,0.67,-1.05,-0.88,-0.89,2.3,0.44,-0.12,,,,,,
197710,-4.63,-2.56,-2.27,-1.29,-2.12,-5.25,-2.6,-3.9,0.22,-1.75,-3.56,-2.1,-2.41,-2.47,-2.66,-4.03,-3.04,-2.85,-4.13,-4.88,-4.51,-4.08,-5.16,-2.51,-3.62,,,,,,
197711,9.44,8.68,8.27,6.82,9,8.38,9.61,8.8,7.07,8.26,6.71,7.6,6.1,6.15,8.68,7.31,6.09,5.59,6.95,7.17,3.6,3.31,2.91,2.97,5.01,,,,,,
197712,4.64,3.66,2.49,2.8,1.73,3.06,1.83,0.53,0.55,1.58,1.58,0.87,1.8,1.03,1.2,0.38,0.9,0.53,-0.07,-0.6,0.04,1.09,1.19,0.4,1.31,,,,,,
197801,-1.24,-3.27,-1.57,-1.14,0.2,-5.36,-5.71,-2.49,-1.83,-2.43,-6.87,-5.24,-3.41,-3.5,-0.65,-6.01,-6.29,-5.55,-4.25,-1.7,-6.27,-7.19,-5.55,-4.95,-3.13,,,,,,
197802,3.09,3.19,3.96,3.14,3.54,1.7,1.64,0.92,2.25,0.64,0.59,1.63,0.62,0.66,1.5,-1.34,-0.56,-0.7,0.88,-2.26,-3.2,-1.45,2.33,-1,-3.59,,,,,,
197803,8.21,7.37,8.06,6.85,8.15,6.09,5.99,7.58,6.47,7.48,5.57,5.71,4.67,4.71,8.18,4.97,4.8,4.71,4.67,4.85,1.22,3.83,3.23,2.9,3.72,,,,,,
197804,10.31,8.78,8.35,7.29,8.45,10.08,7.3,8.26,7.29,6.52,9.92,8.73,7.63,5.05,6.49,8.73,7.27,5.52,5.7,8.56,11.85,8.72,4.72,5.07,5.42,,,,,,
197805,8.53,6.65,8.67,6.26,8.02,7.11,7.45,4.82,4.12,5.35,6.34,5.16,5.53,2.18,4.1,4.83,3.83,1.43,2.39,3.75,1.34,1.34,-0.01,1.1,1.97,,,,,,
197806,0.9,0.45,0.37,0.01,0.28,-1.22,-2.62,0.68,3.48,-0.2,-0.59,-0.98,0.8,0.9,1.16,-0.96,-0.66,-0.03,0.68,-0.64,-1.19,-3.09,-2.01,-1.76,-0.61,,,,,,
197807,6.85,6.16,6.04,4.84,4.61,8.04,4.91,6.26,4.99,8.37,6.74,4.9,4.32,4.48,3.69,5.98,5.69,6.31,5.9,9.96,7.63,4.88,4.77,2.85,4.57,,,,,,
197808,9.78,9.57,8.39,7.84,10.19,9.29,7.87,9.5,7.04,9.43,7.96,8.46,6.6,4.89,10.1,7.84,6.08,4.29,3.92,2.83,2.5,3.37,4.82,3.06,0.19,,,,,,
197809,-1.05,0.38,-1.89,-0.07,0.39,-1.72,-1.67,-1.72,0.55,-1.75,-3.22,-0.76,-1.41,-0.33,-0.89,-3.27,-2.15,0.6,0.07,-1.17,-3.19,0.13,1.86,1.08,0.89,,,,,,
197810,-26.95,-23.47,-21.73,-18.76,-21.29,-25.01,-18.9,-18.63,-15.06,-19.01,-19.24,-18.75,-13.98,-14.44,-19.34,-15.72,-13.27,-13.35,-11.97,-14.8,-8.34,-9.35,-8.39,-7.07,-12.07,,,,,,
197811,8.78,8.1,6.74,4.44,4.17,11.71,5.4,4.61,2.84,5.96,7.11,5.14,4.11,3.01,2.69,4.48,2.62,3.77,1.45,2.75,2.63,2.34,4.04,3.16,2.53,,,,,,
197812,3.37,3.26,2.37,1.14,0.65,3.06,3.28,1.49,2.59,2.1,3.05,1.69,0.42,1.16,3.68,0.98,1.6,1.56,0.49,0.24,3.49,0.85,0.87,-0.05,-0.7,,,,,,
197901,10.17,9.94,8.34,10.57,11.99,8.55,8.47,8.2,7.5,9.91,6.96,7.14,7.5,7.07,9.77,5.89,5.11,6.2,8.36,6.21,2.44,5,4.43,4.75,7.67,,,,,,
197902,-2.98,-3.45,-2.46,-2.8,-1.41,-2.82,-3.21,-2.77,-3.37,-2.22,-4.91,-1.92,-2.19,-1.39,-0.88,-3.89,-3.59,-3.1,-3.32,-4.45,-3.96,-2.54,-2.74,-1.29,-2.89,,,,,,
197903,12.21,9.55,7.95,7.21,8.44,12.54,8.97,8.48,7.38,8.39,10.81,9.35,6.93,9,12.94,7.92,7.69,7.15,7.9,9.71,5.03,6.02,6.8,3.76,6.46,,,,,,
197904,3.15,2.97,2.28,2.99,3.47,1.66,2.64,2.45,2.88,2.11,1.3,1.27,2.24,1.91,4.07,2.2,0.77,1.81,0.2,1.87,-0.17,0.7,0.98,-0.53,-1.12,,,,,,
197905,-2.67,-0.91,-1.66,1.08,-1.09,-2.29,-1.69,-0.31,-0.24,-1,-3.6,-2.78,-0.25,0.56,-2.24,-0.38,-1.39,-1.47,-0.58,-0.88,-2.09,-0.9,-1.72,-1.26,-1.33,,,,,,
197906,6.19,5.67,5.41,4.5,5.41,7.42,6.05,3.91,5.86,8.62,3.63,4.8,6.27,6.27,6.5,5.07,7.3,6.37,7.86,6,2.29,4.69,6.26,4.67,2.81,,,,,,
197907,2.13,2.97,2.42,3.13,2.23,2.08,2.19,3.5,4.88,3.88,3.35,4.01,4.15,2.94,5.24,1.48,3.3,2.68,2.36,3,-0.31,1.49,1.54,1.3,3.72,,,,,,
197908,8.74,8.82,6.62,6.98,8.16,8.55,8.56,7.22,6.83,7.28,9.24,7.97,5.79,5.7,6.49,8.59,6.64,6.89,5.28,7.72,6.49,6.93,4.35,5.46,5.32,,,,,,
197909,-0.05,-0.23,-1.58,-0.53,-0.98,0.68,0.78,-2.57,-1.47,-1.96,1.38,-0.07,-1.32,-2.93,-1.57,-0.21,-0.75,0.14,-1.76,-1.74,-2.04,1.23,1.7,0.84,0.58,,,,,,
197910,-11.05,-9.72,-11.22,-9.46,-11.47,-9.27,-9.96,-11.75,-11.88,-11.51,-8.12,-8.32,-10.37,-7.57,-12.34,-7.49,-8.03,-8.32,-10.6,-10.52,-6.48,-5.31,-5.62,-7.03,-7.32,,,,,,
197911,11.13,8.6,6.6,4.98,6.45,11.12,8.01,7.07,7.37,7.46,11.84,7.31,6.57,7.11,5.34,9.98,7.42,7.9,5.62,6.06,5.22,6.8,4.31,7.2,0.96,,,,,,
197912,11.5,7.89,6.1,6.76,5.24,8.57,6.33,6.56,3.58,4.99,5.59,3.44,2.75,1.78,8.04,4.86,3.93,2.26,2.15,4.09,1.99,3.47,-0.08,0.95,2.35,,,,,,
198001,12.88,10.1,9.28,8.61,10.81,6.84,7.74,6.56,4.87,8.86,5.29,6.59,6.86,6.48,8.94,7.66,6.01,6.42,1.03,7.84,3.28,7.45,5.83,7.89,10.04,,,,,,
198002,0.58,-0.22,-1.95,-2.27,-2,-1.34,-0.22,-2.7,-4.15,-1.26,-0.89,-3.53,-4.36,-4.78,-2.65,-2.26,-1.8,-2.25,-4.77,-1.72,-4.24,0.79,4.1,1.73,2.67,,,,,,
198003,-22.17,-19.29,-17.58,-15.4,-17.64,-19.22,-16.35,-17.26,-14.68,-17.47,-15.74,-15.16,-16.35,-12.66,-18.84,-12.11,-13.86,-13.58,-11.36,-16.48,-6.16,-11.4,-9.72,-11.41,-12.93,,,,,,
198004,6.26,6.79,6.72,5.08,6.06,6.1,4.59,6.97,7.99,4.14,7.04,7.22,7.17,9.5,5.72,4.84,6.77,6.93,8.51,6.91,2.95,3.51,5.44,7.81,2.8,,,,,,
198005,7.1,6.65,6.79,6.42,7.75,9.14,10.21,7.13,7.87,9.98,7.02,6.92,8.68,7.87,8.72,7.63,8.1,9.37,7.45,8.9,4.91,5.3,5.28,3.93,6.12,,,,,,
198006,5.04,3.18,3.93,4.38,5.39,4.33,6.71,4.27,5.55,2.14,5.22,5.89,3.84,4.58,2.62,5.94,3.79,4.91,3.01,4.72,2.3,4.04,1.97,4.9,0.09,,,,,,
198007,11.98,12.62,10.32,8.47,9.13,14.22,11.17,10.01,8.24,7.68,13.23,8.48,9.79,5.61,6.48,11.36,9.66,8.25,3.32,4.66,11.15,6,3.24,3.59,4.8,,,,,,
198008,11.53,8.75,7.01,7.33,5.12,8.33,7.38,4.16,2.83,3.81,6.73,6.62,2.24,1.76,0.55,4.71,2.3,2.59,0.26,0.57,2,1.01,1.32,1.89,-0.3,,,,,,
198009,6.56,2.96,2.78,1.39,2.98,4.58,3.83,3.69,0.96,0.93,5.76,2.22,2.92,1.84,-1.53,6.06,3.94,2.14,0.31,0.24,3.1,5.71,3.54,-1.46,-0.16,,,,,,
198010,7.6,5.51,4.28,3.62,2.25,6.83,2.14,0.61,3.6,0.99,2.68,1.98,2.87,1.63,2.44,2.46,3.01,-1.02,-1.26,-0.41,0.61,4.07,4.93,-1.85,0.67,,,,,,
198011,16.36,6.33,6.07,0.76,1.72,13.82,7.18,4.69,6.45,2.97,11.75,7.11,2.39,3.23,1.79,13.1,14.83,4.65,3.13,0.92,10.64,14.06,19.08,5.23,3.59,,,,,,
198012,-6.32,-5.37,-3.85,-2.63,-3.54,-5.23,-2.58,-1.69,-1.66,-0.41,-3.87,-3.02,-0.32,-1.09,-0.56,-3.48,-4.4,-1.18,0.35,-0.45,0.09,-5.52,-5.82,-1.49,-0.01,,,,,,
198101,-4.64,0.05,1.69,2.13,3.26,-5.11,-0.39,0.21,1.93,2.99,-4.35,-1.39,-0.79,1.67,2.83,-7.01,-3.42,-0.8,0.72,1.52,-6.13,-7.36,-6.58,0.04,2.4,,,,,,
198102,-3.33,-0.01,1.16,2.1,2.48,-0.39,1.56,2.32,3.59,4.07,2.28,2.46,3.99,0.33,1.31,1.11,2.75,4.11,1.73,3.54,3.27,2.13,-0.71,2.97,-0.51,,,,,,
198103,7.43,9.09,8.63,9.17,7.22,7.99,8.08,7.62,7.97,7.65,7.66,7.49,7.36,9.18,7.78,8.91,6.08,9.17,7.49,7.75,2.95,3.26,-0.16,3.9,7.76,,,,,,
198104,3.01,4.5,3.53,4.71,5.55,1.47,3.81,3.41,3.98,3.92,2.1,3.42,2.08,0.86,3.63,-0.24,-0.48,0.05,0.24,1.66,-2.75,-4.31,-2.92,2.38,-3.03,,,,,,
198105,4.99,5,4.1,2.65,2.76,6.29,2.05,2.99,0.56,2.28,2.16,3.62,2.83,1.74,4.87,3.38,2.15,1.84,0.81,3.13,1.58,-2.08,-1.99,3.57,1.06,,,,,,
198106,-7.31,-0.16,1.46,2.74,1.17,-7.1,-0.77,-0.39,-0.19,1.75,-5.07,-0.34,0.12,1.77,-1.59,-5.26,-2.22,0.97,2.59,-0.41,-4.46,1.08,3.34,-0.62,0.7,,,,,,
198107,-4.64,-3.49,-2.64,-2.14,-2.25,-2.44,-3.63,-0.79,-1.33,-1.97,-1.37,-1.98,-2.9,-3.04,-0.32,2.2,-1.26,-2.58,-2.48,-3.3,1.84,2.51,-2.03,-2.19,0.6,,,,,,
198108,-12.74,-8.42,-7.3,-5.75,-4.95,-10.35,-8.34,-5.14,-4.87,-5.66,-8.59,-6.12,-5.37,-5.75,-3.43,-7,-6.19,-3.79,-5.29,-3.23,-6.13,-6.65,-5.77,-5.24,-0.39,,,,,,
198109,-13.49,-8.51,-7.46,-6.39,-6.39,-10.32,-6.94,-6.51,-3.24,-5.55,-9.13,-5.81,-6.13,-1.43,-3.78,-9.35,-8.59,-6.29,-3.73,-4.36,-6.42,-6.05,-6.18,-2.2,0.48,,,,,,
198110,10.43,8.09,8.49,6.89,5.02,11.01,6.87,6.74,7.58,6.09,11.13,4.99,7.46,5,4.44,10.11,7.09,5.1,4.13,3.69,7.88,7.54,2.64,1.46,4.81,,,,,,
198111,-1.29,2.45,3.83,2.74,4.01,1.37,4.97,4.95,6.19,5.45,0.54,2.61,3.97,2.84,5.54,3.93,4.85,2.34,7.46,4.74,3.8,5.81,5.16,4.41,3.77,,,,,,
198112,-3.98,-2.03,-0.66,-0.34,-1.1,-1.84,-0.31,-1.91,-2.37,-1.69,-1.8,-2.13,-0.83,-1.22,-3.15,-3.53,-2.2,-1.74,-2.27,-2.37,-2.89,-3.58,-3.74,-2.05,-1.79,,,,,,
198201,-2.97,-0.43,-1.92,-1.6,-0.18,-5.45,-3.26,-3.52,-3.5,0.28,-5.94,-3.1,-4.91,-2.17,1.38,-6.83,-4.34,-3.76,-1.61,-1.71,-0.32,-3.93,-2.76,-1.1,1.43,,,,,,
198202,-7.78,-4.03,-3.16,-2.74,-0.86,-7.34,-5.16,-3.78,-1.11,-0.46,-7.87,-2.58,-1.27,-3.05,0.17,-7.15,-6.42,-3.68,-0.36,0.7,-7.4,-7.33,-2.59,-1.18,-3.92,,,,,,
198203,-2.19,-0.41,-1.27,-0.33,0.16,-3.82,0.01,-1.39,1.87,1.92,-2.36,0,1.23,-0.34,2.96,-3.21,-1.82,-0.06,0.2,1.05,-3.68,0.53,-1.56,2.62,2.04,,,,,,
198204,6.37,6.01,5.43,5.07,4.47,6.76,7.02,5.78,4.47,4.29,6.37,5.61,4.58,5.09,4.81,6.54,5.25,4.1,3.73,5.02,6.52,3.94,3.1,2.97,0.55,,,,,,
198205,-3.07,-1.73,0.13,-0.95,-0.67,-4.01,-3.46,-3.24,-1.78,-2,-3.46,-1.98,-3.15,-1.21,-1.21,-4.8,-4.75,-3.72,-3.92,-2.78,-4.11,-1.91,-1.52,-3.22,-1.26,,,,,,
198206,-4.44,-3.47,-2.43,-1.07,-1.28,-4.38,-0.87,-1.6,-0.57,-1.3,-3.91,-0.79,-0.29,-2.03,-1.98,-4.1,-3.25,-0.84,-1.49,0.51,-2.97,-1.06,-0.55,-1.88,-2.88,,,,,,
198207,-3.8,-2.54,0.53,-0.91,-0.43,-3.2,1.47,-0.08,-0.25,-0.75,-1.83,-0.6,-2.17,-3.35,-1.63,-1.76,-4.69,-2.62,-3.25,-2.81,0.46,-3.72,-4.24,-2.14,-1.83,,,,,,
198208,4.86,7.11,6.72,5.11,5.7,7.81,8.47,9.88,8.02,8.21,10.83,11.04,12.38,11.27,10.93,11.98,12.26,11.2,12.52,14.01,11.3,12.05,13.07,13.73,12.46,,,,,,
198209,2.36,2.49,5.96,3.94,4.34,2.67,2.15,5.08,5.54,6.08,3.35,5.47,4.27,4.2,2.12,2.51,2.15,7.99,2.45,-0.03,1.6,1.93,1.15,-0.09,0.16,,,,,,
198210,17.72,13.55,12.86,12.99,11.71,17.19,12.58,13.44,10.14,11.11,15.15,13.57,13.05,13.3,12.99,15.54,14.98,12.42,12.64,12.83,11.58,11.35,10.35,11.33,5.95,,,,,,
198211,9.16,10.42,11.21,10.62,10.47,9.7,8.96,8.04,7.91,8.76,10.63,8.97,7.11,5.12,8.7,7.31,6.74,4.27,5.43,7.3,7.13,4.18,1.31,2.92,1.67,,,,,,
198212,2.63,2.3,1.92,2.18,2.44,-0.39,2.34,1.09,0.3,1.2,0.45,0.66,-1.2,0.33,2.46,0.94,0.02,2.41,0.23,2.65,2.41,-0.11,1.14,0.4,5.92,,,,,,
198301,13.55,8.48,9.01,8.85,7.07,7.9,8.47,3.35,4.91,4.84,6.64,2.85,4.51,3.28,3.69,5.02,3.5,2.78,2.48,2.08,2.17,3.07,3.76,6.08,2.77,,,,,,
198302,3.17,4.65,7.84,7.78,8.96,5.17,5.09,7.93,5.71,5.6,5.27,4.79,5.34,4.33,5.2,4.66,2.66,2.94,3.34,4.48,2.36,3.95,3.19,1.13,2.41,,,,,,
198303,2.85,5.66,6.45,4.59,7.57,1.9,3.74,6.78,7.05,4.59,1.99,6.6,4.83,7.65,4.74,0.65,2.68,4.37,5.55,5.14,3.25,2.52,4.17,3.46,1.83,,,,,,
198304,7.27,7.4,8.83,9.32,9.09,7.94,8.45,8.61,7.48,7.6,6.49,7.23,7.32,6.63,6.34,4.9,5.75,8.07,6.9,6.23,6.56,6.11,8.78,9.02,7.24,,,,,,
198305,11.98,10.32,8.54,8.22,7.92,5.55,6.34,5.25,3.21,5.5,5.75,5.38,2.97,2.18,1.39,4.99,5.5,4.41,1.99,1.04,-0.9,-2.25,-0.47,-1.6,1.17,,,,,,
198306,4.11,6.78,3.52,3.35,4.17,6.8,5.29,1.54,2.83,4.14,4.7,5.59,4.94,1.51,1.41,6.36,4.71,3.73,-1.24,1.88,5.9,5.18,2.89,1.62,0.65,,,,,,
198307,-6.05,-2.29,-0.85,0.85,0.77,-7.22,-4.45,-0.9,1.65,0.99,-6.22,-3.05,2.66,1.06,0.96,-4.32,-3.5,-4.77,-1.01,-0.57,-4.85,-5.99,-3.71,-0.22,-2.17,,,,,,
198308,-6.08,-3.81,-2.28,-3.56,-1.15,-5.39,-3.47,-2.75,-1.06,0.13,-3.74,-4.33,-1.52,-0.91,2.34,-2.91,-1.61,0.3,2.59,3.69,-0.65,-0.44,0.24,4.2,6.62,,,,,,
198309,-3.08,0.16,0.62,1.59,1.6,1.13,1.47,3.96,4.96,3.67,1.86,4.3,2.84,5.13,6.59,3.59,1.65,3.43,2.57,1.5,2.88,1.91,2.04,-1,0.5,,,,,,
