Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
197303,0.001383,-0.003667,0.003622
197304,0.001209,0.001542,-0.000657
197305,0.004571,0.006629,-0.015459
197306,0.001704,-0.003497,-0.007217
197307,0.001471,-0.004474,-0.049397
197308,0.004651,-0.003412,0.031926
197309,0.001314,0.003692,0.024801
197310,0.00179,-0.027532,0.014906
197311,0.005162,0.026545,-0.023705
197312,0.001973,-0.000686,-0.014507
197401,0.001628,0.003005,-0.014453
197402,0.005074,0.003318,-0.008174
197403,0.001875,-0.001576,-0.034552
197404,0.001759,-0.009059,-0.032567
197405,0.005638,-0.001746,0.004697
197406,0.002416,-0.032818,-0.001551
197407,0.001822,-0.018253,-0.009878
197408,0.007127,-0.003655,-0.02901
197409,0.002484,-0.007152,0.016527
197410,0.003178,0.037731,0.043649
197411,0.007498,-0.017338,0.02403
197412,0.003203,-0.024228,0.010097
197501,0.001963,0.036312,0.016552
197502,0.007116,0.000546,0.008761
197503,0.002673,0.002065,-0.030718
197504,0.00207,0.013231,-0.022469
197505,0.005842,-0.010393,0.016784
197506,0.002483,0.001172,0.025003
197507,0.001947,0.00574,-0.013471
197508,0.005635,-0.010773,-0.01155
197509,0.002438,-0.002818,-0.014998
197510,0.002603,0.007456,0.041703
197511,0.005638,0.002103,-0.014917
197512,0.002597,0.004958,0.034034
197601,0.001636,0.009688,0.004324
197602,0.005422,-5.20E-05,0.00277
197603,0.002401,0.000139,0.012492
197604,0.001232,-0.003339,-0.002339
197605,0.006232,0.005619,-0.019501
197606,0.002323,-0.005648,0.016346
197607,0.00142,0.00706,0.003114
197608,0.006233,0.001912,0.016869
197609,0.002079,0.002167,0.01009
197610,0.001883,-0.001374,0.004285
197611,0.007059,-0.001893,0.029776
197612,0.002219,0.001914,0.028565
197701,0.001663,0.008822,-0.042222
197702,0.006273,0.002934,-0.008404
197703,0.002514,0.000288,0.005325
197704,0.001356,0.002903,0.003309
197705,0.007569,-0.001884,0.008761
197706,0.002633,0.001057,0.012391
197707,0.001334,0.006556,-0.011134
197708,0.007242,-0.006085,0.015323
197709,0.002558,0.000652,-0.007152
197710,0.002061,0.005562,-0.014167
197711,0.008738,-0.003202,0.004309
197712,0.002671,0.006387,-0.021542
197801,0.00204,-0.000877,-0.012861
197802,0.007764,0.004688,-0.004169
197803,0.003125,0.006283,-0.007319
197804,0.001652,-0.001821,-0.005806
197805,0.00815,-0.004999,-0.010863
197806,0.002985,0.008573,-0.011527
197807,0.001909,-0.00412,0.00864
197808,0.007233,0.003844,0.016132
197809,0.00256,0.005842,-0.016666
197810,0.002697,-0.00052,-0.026615
197811,0.008419,-0.00536,0.01178
197812,0.003071,-0.000263,-0.020702
197901,0.002593,-0.000704,0.01131
197902,0.007351,0.000672,-0.020656
197903,0.003124,-0.002258,0.004766
197904,0.002123,0.006132,-0.019027
197905,0.008325,-0.003214,0.017812
197906,0.003014,-0.00411,0.022832
197907,0.002295,0.005499,-0.016045
197908,0.00781,0.004191,-0.011116
197909,0.00235,-0.005743,-0.020303
197910,0.002913,-0.005364,-0.091982
197911,0.008183,-0.008689,0.021059
197912,0.002981,-0.016433,-0.003767
198001,0.002395,0.010357,-0.081409
198002,0.007111,-0.02076,-0.05508
198003,0.003028,0.02608,-0.042996
198004,0.002514,-0.012797,0.138058
198005,0.007811,0.013557,0.033509
198006,0.003267,-0.001693,0.029561
198007,0.002462,0.004935,-0.052603
198008,0.0066,-0.00139,-0.049243
198009,0.002914,0.002526,-0.033442
198010,0.00285,0.010671,-0.035458
198011,0.006277,-0.008234,0.000442
198012,0.00261,-0.01,0.021799
198101,0.001795,-0.001497,-0.021665
198102,0.006767,0.017408,-0.053667
198103,0.003135,-0.007051,0.026031
198104,0.00184,-0.026523,-0.061841
198105,0.00655,-0.002533,0.050069
198106,0.003208,0.020599,-0.030987
198107,0.001807,-0.00198,-0.047104
198108,0.007189,0.004254,-0.050744
198109,0.003,-0.00549,-0.0266
198110,0.003355,-0.028443,0.070003
198111,0.007062,-0.012535,0.12895
198112,0.003011,0.01431,-0.079335
198201,0.001776,-0.0174,-0.003351
198202,0.008044,0.012772,0.008876
198203,0.004059,0.007337,0.013163
198204,0.001893,-0.003412,0.025756
198205,0.008981,0.021026,-0.007109
198206,0.003533,-0.025079,-0.031551
198207,0.002319,0.003694,0.039202
198208,0.009702,0.005209,0.069928
198209,0.00313,0.00044,0.056426
198210,0.002857,0.011722,0.057195
198211,0.007421,0.020304,-0.006501
198212,0.002504,-0.019763,0.024277
198301,0.002218,0.022186,-0.037507
198302,0.006499,-0.006067,0.042715
